ID,LOCATION_TEXT,ADDRESS,STATUS,NAME,ROUTE_DIRECTION,SEQUENCE,IS_STAGE_POINT,STAGE_NUMBER,JOURNEY_PATTERN_ID,RTPI_DESTINATION,RTPI_ORGIN,RTPI_VIA,SEQUENCE_NUMBER,FARE
226,Shanard Avenue,Shanard Road,ACTIVE,1,O,10,Y,17,00010001,Sandymount,Santry,O'Connell St,0,0
228,Oldtown Avenue,Shanliss Rd,ACTIVE,1,O,20,N,,00010001,Sandymount,Santry,O'Connell St,1,0
229,Oldtown Road,Shanliss Rd,ACTIVE,1,O,30,N,,00010001,Sandymount,Santry,O'Connell St,2,0
227,Shanliss Drive,Shanliss Rd,ACTIVE,1,O,40,N,,00010001,Sandymount,Santry,O'Connell St,3,0
230,Shanowen Road,Shanliss Rd,ACTIVE,1,O,50,N,,00010001,Sandymount,Santry,O'Connell St,4,0
231,Shanowen Road,Swords Road,ACTIVE,1,O,60,Y,18,00010001,Sandymount,Santry,O'Connell St,5,0
1641,Shanrath Road,Swords Road,ACTIVE,1,O,70,N,,00010001,Sandymount,Santry,O'Connell St,6,0
1642,Whitehall Church,Swords Road,ACTIVE,1,O,80,N,,00010001,Sandymount,Santry,O'Connell St,7,0
213,Iveragh Road,Swords Road,ACTIVE,1,O,90,Y,19,00010001,Sandymount,Santry,O'Connell St,8,0
214,Highfield Hospital,Swords Road,ACTIVE,1,O,100,N,,00010001,Sandymount,Santry,O'Connell St,9,0
4432,Griffith Downs,Swords Road,ACTIVE,1,O,110,N,,00010001,Sandymount,Santry,O'Connell St,10,0
119,Griffith Avenue,Drumcondra Rd,ACTIVE,1,O,120,Y,20,00010001,Sandymount,Santry,O'Connell St,11,0
44,Homefarm Road,Drumcondra Rd,ACTIVE,1,O,130,N,,00010001,Sandymount,Santry,O'Connell St,12,0
7603,DCU St. Patrick's,Drumcondra Rd,ACTIVE,1,O,135,N,,00010001,Sandymount,Santry,O'Connell St,13,0
45,Clonturk Park,Drumcondra Rd,ACTIVE,1,O,140,Y,21,00010001,Sandymount,Santry,O'Connell St,14,0
46,Botanic Avenue,Drumcondra Rd,ACTIVE,1,O,150,N,,00010001,Sandymount,Santry,O'Connell St,15,0
47,Drumcondra Station,Drumcondra Rd,ACTIVE,1,O,160,Y,22,00010001,Sandymount,Santry,O'Connell St,16,0
48,Fitzroy Avenue,Drumcondra Rd,ACTIVE,1,O,170,N,,00010001,Sandymount,Santry,O'Connell St,17,0
49,North Circular Road,Dorset St,ACTIVE,1,O,180,Y,23,00010001,Sandymount,Santry,O'Connell St,18,0
51,Temple Street,Dorset St,ACTIVE,1,O,200,N,,00010001,Sandymount,Santry,O'Connell St,19,0
52,Frederick Street,Dorset St,ACTIVE,1,O,210,Y,24,00010001,Sandymount,Santry,O'Connell St,20,0
265,Gate Theatre,Parnell Square,ACTIVE,1,O,220,N,,00010001,Sandymount,Santry,O'Connell St,21,
271,Abbey Street,O'Connell St,ACTIVE,1,O,230,Y,25,00010001,Sandymount,Santry,O'Connell St,22,
340,Garda Station,Townsend St,ACTIVE,1,O,240,N,,00010001,Sandymount,Santry,O'Connell St,23,
350,Prince's Street South,Townsend Street,ACTIVE,1,O,250,Y,26,00010001,Sandymount,Santry,O'Connell St,24,
351,Erne Street,Pearse Street,ACTIVE,1,O,260,N,,00010001,Sandymount,Santry,O'Connell St,25,
352,Pearse Square,Pearse Street,ACTIVE,1,O,270,N,,00010001,Sandymount,Santry,O'Connell St,26,0
