stop_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2,38D,38B,38,38A,46A,46E,,,,,,,,,,,,,,,,,
3,122,120,,,,,,,,,,,,,,,,,,,,,
4,9,7,7D,7A,7B,,,,,,,,,,,,,,,,,,
6,4,,,,,,,,,,,,,,,,,,,,,,
7,40,140,40B,40D,13,,,,,,,,,,,,,,,,,,
8,16,,,,,,,,,,,,,,,,,,,,,,
10,11,1,44,,,,,,,,,,,,,,,,,,,,
11,40,40B,40D,13,,,,,,,,,,,,,,,,,,,
12,11,16,44,1,122,,,,,,,,,,,,,,,,,,
14,1,44,40,16,11,122,13,40D,40B,,,,,,,,,,,,,,
15,40B,40D,33,13,11,16,40,44,41,41B,41C,1,,,,,,,,,,,
16,122,,,,,,,,,,,,,,,,,,,,,,
17,13,11,33,16,1,41B,41,44,41C,,,,,,,,,,,,,,
18,41C,44,41,41B,1,16,33,11,13,,,,,,,,,,,,,,
19,13,11,33,16,1,41B,41,44,41C,,,,,,,,,,,,,,
21,44,41,41C,41B,1,16,33,13,11,,,,,,,,,,,,,,
22,11,,,,,,,,,,,,,,,,,,,,,,
23,11,,,,,,,,,,,,,,,,,,,,,,
24,11,,,,,,,,,,,,,,,,,,,,,,
25,11,,,,,,,,,,,,,,,,,,,,,,
27,11,13,9,4,,,,,,,,,,,,,,,,,,,
28,4,9,13,11,,,,,,,,,,,,,,,,,,,
29,11,13,9,4,,,,,,,,,,,,,,,,,,,
30,120,,,,,,,,,,,,,,,,,,,,,,
31,11,,,,,,,,,,,,,,,,,,,,,,
32,11,,,,,,,,,,,,,,,,,,,,,,
33,11,,,,,,,,,,,,,,,,,,,,,,
35,11,,,,,,,,,,,,,,,,,,,,,,
36,11,,,,,,,,,,,,,,,,,,,,,,
37,11,13,9,4,,,,,,,,,,,,,,,,,,,
38,4,9,13,11,,,,,,,,,,,,,,,,,,,
39,11,13,9,4,,,,,,,,,,,,,,,,,,,
40,4,9,11,,,,,,,,,,,,,,,,,,,,
41,11,,,,,,,,,,,,,,,,,,,,,,
42,11,,,,,,,,,,,,,,,,,,,,,,
43,11,,,,,,,,,,,,,,,,,,,,,,
44,11,13,33,16C,16,1,41A,41,41B,41C,44,,,,,,,,,,,,
45,44,41C,41,41A,41B,1,16,16C,33,13,11,,,,,,,,,,,,
46,11,13,33,16C,16,1,41B,41A,41,41C,44,,,,,,,,,,,,
47,44,41C,41,41A,41B,1,16,16C,33,13,11,,,,,,,,,,,,
48,11,13,33,16C,16,1,41B,41A,41,41C,44,,,,,,,,,,,,
49,44,41C,40,41A,41,41B,1,16,16C,33,13,11,40D,40B,,,,,,,,,
51,40B,40D,122,11,13,33,16,16C,1,41B,41,41A,41C,44,40,,,,,,,,
52,40,44,41C,41A,41,41B,1,16C,33,13,11,122,40D,40B,16,,,,,,,,
53,122,,,,,,,,,,,,,,,,,,,,,,
54,122,,,,,,,,,,,,,,,,,,,,,,
55,122,,,,,,,,,,,,,,,,,,,,,,
