,date_time,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_direction,rain_3h,cloudiness,weather_main,weather_description
1,2016-01-01 02:00:00,1.0,1.0,1.0,1016,80,2,170,,40,Clouds,scattered clouds
2,2016-01-01 04:00:00,3.0,3.0,3.0,1015,69,3,130,,40,Clouds,scattered clouds
3,2016-01-01 06:00:00,3.9399999999999977,3.890000000000043,4.0,1014,69,4,150,,40,Clouds,scattered clouds
4,2016-01-01 07:00:00,3.9399999999999977,3.890000000000043,4.0,1013,100,3,150,,75,Clouds,broken clouds
5,2016-01-01 08:00:00,4.520000000000039,4.0,5.0,1013,80,2,120,,75,Clouds,broken clouds
6,2016-01-01 10:00:00,7.8799999999999955,7.78000000000003,8.0,1011,75,11,140,,75,Clouds,broken clouds
7,2016-01-01 11:00:00,7.890000000000043,7.78000000000003,8.0,1010,75,11,140,,75,Clouds,broken clouds
8,2016-01-01 12:00:00,8.0,8.0,8.0,1008,75,13,140,,75,Clouds,broken clouds
9,2016-01-01 13:00:00,7.0,7.0,7.0,1007,87,12,130,,75,Rain,light rain
10,2016-01-01 14:00:00,7.0,7.0,7.0,1004,93,12,130,,75,Rain,light rain
11,2016-01-01 15:00:00,7.0,7.0,7.0,1003,93,12,130,,75,Rain,light rain
12,2016-01-01 16:00:00,8.0,8.0,8.0,1001,87,13,120,,75,Rain,light rain
13,2016-01-01 17:00:00,8.0,8.0,8.0,1000,87,13,120,,75,Rain,light rain
14,2016-01-01 19:00:00,8.0,8.0,8.0,998,93,13,120,,90,Rain,light rain
15,2016-01-01 20:00:00,8.0,8.0,8.0,998,93,13,120,,75,Rain,light rain
16,2016-01-01 21:00:00,8.0,8.0,8.0,997,93,11,120,,75,Rain,light rain
17,2016-01-01 23:00:00,8.0,8.0,8.0,995,93,11,110,,75,Rain,light rain
18,2016-01-02 01:00:00,8.939999999999998,8.890000000000043,9.0,993,81,8,110,,75,Clouds,broken clouds
19,2016-01-02 03:00:00,9.0,9.0,9.0,992,87,9,110,,75,Drizzle,light intensity drizzle rain
20,2016-01-02 05:00:00,9.0,9.0,9.0,993,87,6,110,,75,Drizzle,light intensity drizzle rain
21,2016-01-02 06:00:00,9.0,9.0,9.0,993,93,5,110,,75,Drizzle,light intensity drizzle rain
22,2016-01-02 08:00:00,8.939999999999998,8.890000000000043,9.0,994,93,4,90,,75,Clouds,broken clouds
23,2016-01-02 09:00:00,9.0,9.0,9.0,994,93,3,80,,75,Clouds,broken clouds
24,2016-01-02 10:00:00,9.0,9.0,9.0,995,93,2,80,,75,Clouds,broken clouds
25,2016-01-02 11:00:00,9.0,9.0,9.0,996,100,3,50,,75,Clouds,broken clouds
26,2016-01-02 12:00:00,10.0,10.0,10.0,996,93,3,60,,75,Clouds,broken clouds
27,2016-01-02 13:00:00,10.0,10.0,10.0,997,93,2,360,,75,Clouds,broken clouds
28,2016-01-02 14:00:00,10.0,10.0,10.0,997,93,2,310,,75,Clouds,broken clouds
29,2016-01-02 15:00:00,10.0,10.0,10.0,998,87,2,330,,75,Clouds,broken clouds
30,2016-01-02 16:00:00,9.0,9.0,9.0,998,100,2,270,,75,Clouds,broken clouds
31,2016-01-02 17:00:00,9.0,9.0,9.0,999,93,3,280,,75,Drizzle,light intensity drizzle rain
32,2016-01-02 19:00:00,8.0,8.0,8.0,999,100,5,250,,75,Drizzle,light intensity drizzle
33,2016-01-02 20:00:00,7.0,7.0,7.0,999,100,5,240,,75,Drizzle,light intensity drizzle
34,2016-01-02 22:00:00,6.0,6.0,6.0,999,100,6,240,,75,Drizzle,light intensity drizzle
35,2016-01-03 00:00:00,5.0,5.0,5.0,997,93,4,230,,75,Clouds,broken clouds
36,2016-01-03 02:00:00,5.0,5.0,5.0,995,80,1,0,,90,Clouds,overcast clouds
37,2016-01-03 04:00:00,6.0,6.0,6.0,991,81,4,120,,75,Clouds,broken clouds
38,2016-01-03 05:00:00,7.0,7.0,7.0,990,81,6,130,,75,Clouds,broken clouds
39,2016-01-03 06:00:00,8.0,8.0,8.0,986,93,11,130,,75,Rain,light rain
40,2016-01-03 07:00:00,8.0,8.0,8.0,984,93,12,120,,75,Rain,light rain
41,2016-01-03 08:00:00,8.0,8.0,8.0,982,93,12,110,,75,Rain,light rain
42,2016-01-03 10:00:00,8.0,8.0,8.0,980,93,5,200,,75,Clouds,broken clouds
43,2016-01-03 12:00:00,10.0,10.0,10.0,979,76,3,210,,20,Clouds,few clouds
44,2016-01-03 14:00:00,10.0,10.0,10.0,978,71,3,180,,20,Clouds,few clouds
45,2016-01-03 16:00:00,9.0,9.0,9.0,977,81,3,140,,40,Clouds,scattered clouds
