,stop_number,stop_address
0,226,"Shanard Road, Shanard Avenue"
1,228,"Shanliss Rd, Oldtown Avenue"
2,229,"Shanliss Rd, Oldtown Road"
3,227,"Shanliss Rd, Shanliss Drive"
4,230,"Shanliss Rd, Shanowen Road"
5,231,"Swords Road, Shanowen Road"
6,1641,"Swords Road, Shanrath Road"
7,1642,"Swords Road, Whitehall Church"
8,213,"Swords Road, Iveragh Road"
9,214,"Swords Road, Highfield Hospital"
10,4432,"Swords Road, Griffith Downs"
11,119,"Drumcondra Rd, Griffith Avenue"
12,44,"Drumcondra Rd, Homefarm Road"
13,7603,"Drumcondra Rd, DCU St. Patrick's"
14,45,"Drumcondra Rd, Clonturk Park"
15,46,"Drumcondra Rd, Botanic Avenue"
16,47,"Drumcondra Rd, Drumcondra Station"
17,48,"Drumcondra Rd, Fitzroy Avenue"
18,49,"Dorset St, North Circular Road"
19,51,"Dorset St, Temple Street"
20,52,"Dorset St, Frederick Street"
21,265,"Parnell Square, Gate Theatre"
22,271,"O'Connell St, Abbey Street"
23,340,"Townsend St, Garda Station"
24,350,"Townsend Street, Prince's Street South"
25,351,"Pearse Street, Erne Street"
26,352,"Pearse Street, Pearse Square"
27,353,"Pearse Street, Grand Canal Quay"
28,354,"Ringsend Road, Barrow Street"
29,355,"Ringsend Road, Bus Garage"
30,356,"Bridge Street, St. Patrick's Villas"
31,357,"Irishtown Rd, Bath Street"
32,390,"Tritonville Road, Church Avenue"
33,372,"Sandymount Rd, Star Of The Sea Church"
34,373,"Sandymount Rd, Farney Park"
35,374,"Sandymount Rd, Marine Drive"
36,375,"Seafort Ave, Marine Drive"
37,2804,"Strand Road, Newgrove Avenue"
38,376,"Strand Road, Lea Road"
39,377,"Strand Road, Gilford Road"
40,378,"Strand Road, Sandymount Tower"
41,380,"St. John's Road, Simmonscourt View"
86,381,"Park Avenue, St. John's Church"
87,382,"St. John's Road, Seamount House"
88,4451,"Strand Road, St. John's Road"
89,383,"Strand Road, Gilford Road"
90,384,"Strand Road, Lea Road"
91,385,"Newgrove Ave, Strand Road"
92,387,"Sandymount Rd, Claremont Road"
93,388,"Sandymount Rd, Farney Park"
94,389,"Sandymount Rd, Leahy's Terrace"
95,393,"Tritonville Road, Cranfield Place"
96,371,"Irishtown Rd, Gospel Hall"
97,391,"Irishtown Rd, Bath Street"
98,392,"Bridge Street, St. Patrick's Church"
99,395,"Ringsend Road, Barrow Street"
100,396,"Pearse Street, Grand Canal Quay"
101,397,"Pearse Street, Pearse Square Pk"
102,398,"Pearse Street, Erne Street"
103,399,"Pearse Street, Westland Row"
104,400,"Pearse Street, Shaw Street"
105,319,"Westmoreland Street, Fleet Street"
106,278,"O'Connell St, Cathal Brugha Street"
107,10,"Parnell Square, Rotunda Hospital"
108,12,"Dorset St, St. Joseph's Parade"
109,14,"Dorset St, Eccles Place"
110,15,"Dorset St, North Circular Road"
111,17,"Drumcondra Rd, Drumcondra Station"
112,18,"Drumcondra Rd, Dargle Road"
113,19,"Drumcondra Rd, Botanic Avenue"
114,21,"Drumcondra Rd, DCU St. Patrick's"
115,7602,"Drumcondra Rd, DCU St. Patrick's"
116,85,"Drumcondra Rd, Home Farm Road"
117,203,"Swords Road, Whitehall College"
118,204,"Swords Road, Highfield Hospital"
119,205,"Swords Road, Iveragh Road"
120,1620,"Swords Road, Collins Avenue"
121,220,"Swords Road, Shantalla Road"
122,221,"Shanowen Rd, Swords Road"
123,222,"Shanliss Rd, Shanowen Road"
124,223,"Shanliss Rd, Shanliss Avenue"
125,224,"Shanard Road, Shanliss Road"
126,225,"Shanard Road, Shanowen Avenue"
149,324,"Harristown, Bus Garage"
150,327,"Ballymun Road, Silloge Golf Club"
151,7113,"Ballymun Road, Santry Avenue"
152,127,"Ballymun Road, Nursing Home"
153,112,"Ballymun Road, Civic Centre"
154,113,"Ballymun Road, Comprehensive School"
155,114,"Ballymun Road, Shanliss Road"
156,115,"Ballymun Road, Albert College Drive"
157,37,"Ballymun Road, DCU"
158,38,"Ballymun Road, Hampstead Avenue"
159,39,"Ballymun Road, The Rise"
160,40,"Mobhi Road, Home Farm Road"
161,146,"Mobhi Road, Na Fianna"
162,147,"Mobhi Road, Dean Swift Bridge"
163,184,"Botanic Rd, Cliftonville Road"
164,185,"Botanic Rd, Marguerite Road"
165,186,"Prospect Road, Botanic Road"
166,187,"Phibsboro Road, Royse Road"
167,188,"Phibsboro Road, North Circular Road"
168,189,"Phibsboro Road, Broadstone"
169,190,"Phibsboro Road, Broadstone Depot"
170,191,"Western Way, Youth Club"
171,819,"Blessington Street, Blessington Court"
172,7457,"Parnell Square East, Junction Great Denmark Street [Virtual Stop Test]"
173,4725,"O'Connell St, Parnell Street"
174,273,"O'Connell St, O'Connell Bridge"
175,405,"Nassau Street, South Frederick Street"
176,408,"Merrion Sq, Clare Street"
177,409,"Merrion Sq, Holles Street"
178,410,"Mount St, Grattan Street"
179,411,"Mount St, Grand Canal"
180,412,"Northumberland Rd, Haddington Road"
181,413,"Northumberland Rd, Lansdowne Park"
182,414,"Pembroke Road, Lansdowne Road"
183,415,"Pembroke Road, Elgin Road"
184,416,"Ballsbridge, RDS"
185,417,"Merrion Road, Serpentine Avenue"
186,418,"Merrion Road, British Embassy"
187,419,"Merrion Road, Shrewsbury Park"
188,420,"Merrion Road, Merlyn Road"
189,421,"Merrion Road, Ailesbury Road"
190,422,"Merrion Road, St. Vincent's Hospital"
191,423,"Merrion Road, Herbert Avenue"
192,424,"Merrion Road, Merrion Gates"
193,425,"Merrion Road, Bellevue Avenue"
194,426,"Rock Road, Nature Reserve"
195,427,"Rock Road, DART Station"
196,428,"Rock Road, Blackrock College"
197,429,"Rock Road, Blackrock Clinic"
198,6334,"Frascati Road, Frascati Centre"
199,7660,"Frascati Road, Temple Road"
200,3114,"Stradbrook Rd, Monkstown Road"
201,3115,"Stradbrook Rd, Greenville Road"
202,3116,"Rowan Pk, Maynard"
203,6085,"Link Road, Deansgrange Road"
204,2026,"Monkstown Ave, Stradbrook Rd"
205,7226,"Monkstown Ave, Richmond Grove"
231,7330,"Monkstown Ave, Fitness Centre"
232,2051,"Monkstown Ave, Stradbrook Rd"
233,6086,"Link Road, Deansgrange Road"
234,3161,"Deansgrange Rd, Abbey Road"
235,3162,"Rowan Pk, Rowan Park Ave"
236,3163,"Stradbrook Rd, Stradbrook Cottages"
237,3164,"Stradbrook Rd, Temple Hill"
238,3084,"Frascati Road, Frascati Centre"
239,469,"Rock Road, Mount Merrion Avenue"
240,470,"Rock Road, Blackrock Clinic"
241,471,"Rock Road, Blackrock College"
242,472,"Rock Road, Booterstown Ave"
243,473,"Rock Road, Grotto Avenue"
244,4705,"Rock Road, St Helen's Road"
245,475,"Rock Road, Bellevue Avenue"
246,476,"Rock Road, Merrion Gates"
247,477,"Merrion Road, Estate Avenue"
248,478,"Merrion Road, St. Vincent's Hospital"
249,479,"Merrion Road, Merrion Centre"
250,480,"Merrion Road, Ailesbury Road"
251,481,"Merrion Road, Merlyn Road"
252,482,"Merrion Road, Shrewsbury Road"
253,483,"Merrion Road, Simmonscourt Road"
254,485,"Ballsbridge, RDS"
255,487,"Pembroke Road, American Embassy"
256,488,"Northumberland Rd, Lansdowne Park"
257,489,"Northumberland Rd, St. Mary's Road South"
258,490,"Northumberland Rd, Haddington Road"
259,491,"Mount St, Grand Canal"
260,492,"Grattan St, Merrion Square"
261,493,"Merrion Sq, Holles Street"
262,494,"Clare Street, Lincoln Place"
263,495,"Westland Row, Pearse Station"
265,281,"O'Connell St, Dublin Bus"
266,6,"Parnell Square, St. Martin's Chapel"
267,194,"Western Way, Youth Club"
268,195,"Phibsboro Road, Constitution Hill"
269,196,"Phibsboro Road, Broadstone Depot"
270,197,"Phibsboro Road, Monck Place"
271,198,"Phibsboro Road, Phibsboro Shopping Centre"
272,199,"Phibsboro Road, Munster Street"
273,200,"Prospect Way, Prospect Avenue"
274,201,"Botanic Rd, St. Teresa's Place"
275,148,"Mobhi Road, Botanic Road"
276,149,"Mobhi Road, St. Mobhi Drive"
277,150,"Mobhi Road, Home Farm Road"
278,27,"Ballymun Road, Griffith Avenue"
279,28,"Ballymun Road, Glasnevin Tennis Club"
280,29,"Ballymun Road, St. Canice's Road"
281,4680,"Ballymun Road, DCU"
282,90,"Ballymun Road, St. Pappin's Road"
283,91,"Ballymun Road, Glasnevin Avenue"
284,92,"Ballymun Road, Ballymun Library"
285,93,"Ballymun Road, Shanliss Road"
286,94,"Ballymun Road, Silloge Road"
287,126,"Ballymun Road, Nursing Home"
288,6182,"Ballymun Road, Santry Cross"
289,322,"Ballymun Road, Gulliver's Retail Park"
290,323,"Ballymun Road, Silloge Golf Club"
291,332,"Harristown, Bus Garage"
388,4962,"Mountjoy Square, Mountjoy Sq Nth"
414,3032,"Rock Road, Blackrock Park"
415,3033,"Blackrock, Main Street"
416,3034,"Temple Road, Frascati Road"
417,3036,"Monkstown Rd, Montpellier Manor"
418,3037,"Monkstown Rd, Alma Road"
419,3038,"Monkstown Rd, Belgrave Square"
420,3039,"Monkstown Rd, Albany Avenue"
421,3040,"Monkstown Rd, Monkstown Crescent"
422,3041,"Monkstown Crescent, Longford Terrace"
423,3042,"Dunleary Hill, De Vesci Terrace"
424,2035,"Clarence Street, Crofton House"
425,2036,"Crofton Road, Crofton Avenue"
426,2040,"Marine Road, George's Street"
427,3047,"George's St, Mellifont Avenue"
428,3202,"Glenageary Rd, George's Street"
429,3203,"Glenageary Rd, Traverslea Close"
430,3204,"Glenageary Rd, Silchester Park"
431,7641,"Sallyglen Rd, Glenageary Rd"
432,7642,"Sallyglen Rd, Park Close"
433,7643,"Sallyglen Rd, Rochestown Avenue"
434,3214,"Churchview Rd, Watson Road"
435,3215,"Churchview Rd, Watson Avenue"
436,3216,"Churchview Rd, Kilbogget Park"
437,3217,"Churchview Rd, Shopping Centre"
438,3218,"Churchview Rd, Pinewood"
439,3219,"Wyattville Rd, Oakton Park"
440,3220,"Wyattville Road, Loughlinstown Drive"
441,5046,"Wyattville Road, Druid Valley"
442,7639,"Brides Glen, Luas Station"
443,1174,"Mountjoy Square, Gardiner Place"
499,7640,"Cherrywood Business Pk, Valley Drive"
500,5047,"Wyattville Road, Druid Valley"
501,3224,"Wyattville Road, Ashlawn Park"
502,3225,"Churchview Rd, Willow Vale"
503,3226,"Churchview Rd, Granville Road"
504,3227,"Churchview Rd, Churchview Ave"
505,3228,"Churchview Rd, Church Road"
506,3229,"Church Road, Churchview Rd"
507,7644,"Sallyglen Rd, Rochestown Avenue"
